module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
GoMad Agile Development Module,gm-document-project,Document Project,DP,Analyze an existing project to produce useful documentation.,,anytime,,,false,project-knowledge,*
GoMad Agile Development Module,gm-generate-project-context,Generate Project Context,GPC,Scan existing codebase to generate a lean LLM-optimized project-context.md. Essential for brownfield projects.,,anytime,,,false,output_folder,project context
GoMad Agile Development Module,gm-quick-dev,Quick Dev,QQ,Unified intent-in code-out workflow: clarify plan implement review and present.,,anytime,,,false,implementation_artifacts,spec and project implementation
GoMad Agile Development Module,gm-correct-course,Correct Course,CC,Navigate significant changes. May recommend start over update PRD redo architecture sprint planning or correct epics and stories.,,anytime,,,false,planning_artifacts,change proposal
GoMad Agile Development Module,gm:agent-tech-writer,Write Document,WD,"Describe in detail what you want, and the agent will follow documentation best practices. Multi-turn conversation with subprocess for research/review.",write,,anytime,,,false,project-knowledge,document
GoMad Agile Development Module,gm:agent-tech-writer,Update Standards,US,Update agent memory documentation-standards.md with your specific preferences if you discover missing document conventions.,update-standards,,anytime,,,false,_gomad/_memory/tech-writer-sidecar,standards
GoMad Agile Development Module,gm:agent-tech-writer,Mermaid Generate,MG,Create a Mermaid diagram based on user description. Will suggest diagram types if not specified.,mermaid,,anytime,,,false,planning_artifacts,mermaid diagram
GoMad Agile Development Module,gm:agent-tech-writer,Validate Document,VD,Review the specified document against documentation standards and best practices. Returns specific actionable improvement suggestions organized by priority.,validate,[path],anytime,,,false,planning_artifacts,validation report
GoMad Agile Development Module,gm:agent-tech-writer,Explain Concept,EC,Create clear technical explanations with examples and diagrams for complex concepts.,explain,[topic],anytime,,,false,project_knowledge,explanation
GoMad Agile Development Module,gm-brainstorming,Brainstorm Project,BP,Expert guided facilitation through a single or multiple techniques.,,1-analysis,,,false,planning_artifacts,brainstorming session
GoMad Agile Development Module,gm-market-research,Market Research,MR,"Market analysis competitive landscape customer needs and trends.",,1-analysis,,,false,"planning_artifacts|project-knowledge",research documents
GoMad Agile Development Module,gm-domain-research,Domain Research,DR,Industry domain deep dive subject matter expertise and terminology.,,1-analysis,,,false,"planning_artifacts|project_knowledge",research documents
GoMad Agile Development Module,gm-technical-research,Technical Research,TR,Technical feasibility architecture options and implementation approaches.,,1-analysis,,,false,"planning_artifacts|project_knowledge",research documents
GoMad Agile Development Module,gm-product-brief,Create Brief,CB,An expert guided experience to nail down your product idea in a brief. a gentler approach than PRFAQ when you are already sure of your concept and nothing will sway you.,,-A,1-analysis,,,false,planning_artifacts,product brief
GoMad Agile Development Module,gm-prfaq,PRFAQ Challenge,WB,Working Backwards guided experience to forge and stress-test your product concept to ensure you have a great product that users will love and need through the PRFAQ gauntlet to determine feasibility and alignment with user needs. alternative to product brief.,,-H,1-analysis,,,false,planning_artifacts,prfaq document
GoMad Agile Development Module,gm-create-prd,Create PRD,CP,Expert led facilitation to produce your Product Requirements Document.,,2-planning,,,true,planning_artifacts,prd
GoMad Agile Development Module,gm-validate-prd,Validate PRD,VP,,,[path],2-planning,gm-create-prd,,false,planning_artifacts,prd validation report
GoMad Agile Development Module,gm-edit-prd,Edit PRD,EP,,,[path],2-planning,gm-validate-prd,,false,planning_artifacts,updated prd
GoMad Agile Development Module,gm-create-ux-design,Create UX,CU,"Guidance through realizing the plan for your UX, strongly recommended if a UI is a primary piece of the proposed project.",,2-planning,gm-create-prd,,false,planning_artifacts,ux design
GoMad Agile Development Module,gm-create-architecture,Create Architecture,CA,Guided workflow to document technical decisions.,,3-solutioning,,,true,planning_artifacts,architecture
GoMad Agile Development Module,gm-create-epics-and-stories,Create Epics and Stories,CE,,,3-solutioning,gm-create-architecture,,true,planning_artifacts,epics and stories
GoMad Agile Development Module,gm-check-implementation-readiness,Check Implementation Readiness,IR,Ensure PRD UX Architecture and Epics Stories are aligned.,,3-solutioning,gm-create-epics-and-stories,,true,planning_artifacts,readiness report
GoMad Agile Development Module,gm-sprint-planning,Sprint Planning,SP,Kicks off implementation by producing a plan the implementation agents will follow in sequence for every story.,,4-implementation,,,true,implementation_artifacts,sprint status
GoMad Agile Development Module,gm-sprint-status,Sprint Status,SS,Anytime: Summarize sprint status and route to next workflow.,,4-implementation,gm-sprint-planning,,false,,
GoMad Agile Development Module,gm-create-story,Create Story,CS,"Story cycle start: Prepare first found story in the sprint plan that is next or a specific epic/story designation.",create,,4-implementation,gm-sprint-planning,gm-create-story:validate,true,implementation_artifacts,story
GoMad Agile Development Module,gm-create-story,Validate Story,VS,Validates story readiness and completeness before development work begins.,validate,,4-implementation,gm-create-story:create,gm-dev-story,false,implementation_artifacts,story validation report
GoMad Agile Development Module,gm-dev-story,Dev Story,DS,Story cycle: Execute story implementation tasks and tests then CR then back to DS if fixes needed.,,4-implementation,gm-create-story:validate,,true,,
GoMad Agile Development Module,gm-code-review,Code Review,CR,Story cycle: If issues back to DS if approved then next CS or ER if epic complete.,,4-implementation,gm-dev-story,,false,,
GoMad Agile Development Module,gm-checkpoint-preview,Checkpoint,CK,Guided walkthrough of a change from purpose and context into details. Use for human review of commits branches or PRs.,,4-implementation,,,false,,
GoMad Agile Development Module,gm-qa-generate-e2e-tests,QA Automation Test,QA,Generate automated API and E2E tests for implemented code. NOT for code review or story validation — use CR for that.,,4-implementation,gm-dev-story,,false,implementation_artifacts,test suite
GoMad Agile Development Module,gm-retrospective,Retrospective,ER,Optional at epic end: Review completed work lessons learned and next epic or if major issues consider CC.,,4-implementation,gm-code-review,,false,implementation_artifacts,retrospective
